country,idcode,year,growth,FI,KOFEcGI,FIXEcGI,lngdp,lngcf,lnexp,lnimp,lnghg,KOFEcGIDF,KOFEcGIDJ,FIXEcGIDF,FIXEcGIDJ,w1y_lnghg,w1x_FI,w1x_KOFEcGI,w1x_FIXEcGI
Angola,AGO,2006,-1.9446119,9.1291384,50,4.5645692,24.682172,23.224702,24.231822,23.514431,4.7589208,63,37,5.7513572,3.3777812,0.1529524,0.4611879,2.475151,0.271205
Angola,AGO,2007,3.934603,9.6436706,49,4.7253986,24.902258,23.544645,24.523239,23.992835,4.7982668,63,36,6.0755125,3.4717214,0.1544207,0.475574,2.577403,0.2907673
Angola,AGO,2008,2.4109329,10.129048,49,4.9632336,25.206268,24.030153,24.885269,24.486789,4.8223761,67,30,6.7864623,3.0387145,0.1540293,0.4874564,2.560056,0.2960052
Angola,AGO,2009,2.2283271,10.492222,50,5.2461108,24.976038,24.127791,24.448959,24.456162,4.8446594,72,27,7.5543996,2.8328998,0.154604,0.4898556,2.526622,0.2929554
Angola,AGO,2010,3.6626206,11.051172,51,5.6360978,25.12632,23.85876,24.664848,24.289978,4.8812856,69,34,7.6253088,3.7573985,0.1550524,0.4924468,2.546556,0.2964272
Angola,AGO,2011,-0.61646377,11.275131,50,5.6375656,25.414614,24.087107,24.942774,24.50518,4.875121,66,33,7.4415867,3.7207933,0.1607639,0.4963335,2.531686,0.2966733
Angola,AGO,2012,-0.58188664,11.386629,47,5.3517158,25.55158,24.228823,24.998542,24.549731,4.8693021,62,32,7.0597102,3.6437214,0.1622798,0.502802,2.582377,0.3062559
Angola,AGO,2013,1.6072251,11.591196,46,5.3319502,25.613615,24.275753,24.96603,24.623216,4.8853744,61,31,7.0706296,3.5932708,0.1630757,0.5076699,2.576888,0.3088135
Angola,AGO,2014,1.4850644,11.657634,44,5.1293588,25.643247,24.352926,24.832499,24.702947,4.900225,61,26,7.1111565,3.0309847,0.1644483,0.509463,2.630732,0.3159962
Angola,AGO,2015,4.5338285,11.94342,46,5.4939732,25.19147,24.117774,24.261322,24.360852,4.9455633,66,25,7.8826572,2.985855,0.1647565,0.5082037,2.575555,0.3080341
Angola,AGO,2016,-2.157581,11.94802,50,5.9740099,24.631281,23.333336,24.066128,23.969757,4.9239875,73,27,8.7220544,3.2259653,0.1643883,0.5071617,2.600868,0.3097871
Angola,AGO,2017,-1.0597578,11.985107,46,5.5131492,24.957372,23.532669,24.295611,24.066128,4.9133899,64,28,7.6704684,3.3558299,0.164763,0.5075366,2.64722,0.3155463
Angola,AGO,2018,-10.789454,11.857063,45,5.3356782,25.077407,23.355155,24.446547,23.977509,4.8054954,61,30,7.2328082,3.5571188,0.1651149,0.5065533,2.674451,0.3179093
Angola,AGO,2019,6.1731344,11.844923,45,5.3302154,24.961711,23.232865,24.284312,23.827853,4.8672267,61,29,7.2254032,3.4350277,0.1659609,0.5077274,2.676797,0.3191308
Angola,AGO,2020,-8.4663761,11.777022,43,5.0641194,24.704815,23.074641,23.767788,23.444561,4.7825629,58,29,6.8306727,3.4153363,0.1644833,0.5078035,2.586686,0.3084253
Albania,ALB,2006,-1.1472401,9.7655102,51,4.9804102,22.909317,21.880147,21.349204,22.126909,2.0541237,48,53,4.6874449,5.1757204,0.1440537,0.3653738,1.816139,0.2036384
Albania,ALB,2007,0.89343287,10.233453,53,5.4237302,23.09351,22.026179,21.623427,22.398491,2.0630581,51,55,5.2190611,5.6283992,0.1449555,0.3743285,1.844164,0.2116179
Albania,ALB,2008,-3.3594891,10.573393,56,5.9211001,23.280493,22.251494,21.911109,22.629841,2.0294632,56,57,5.9211001,6.0268341,0.1455326,0.381951,1.82188,0.2130698
Albania,ALB,2009,0.91563753,10.650598,58,6.1773469,23.208172,22.148781,21.841681,22.520013,2.0386195,58,59,6.1773469,6.2838529,0.1456313,0.3857657,1.803185,0.2125561
Albania,ALB,2010,5.5710607,10.677438,63,6.7267858,23.199804,22.00974,21.923231,22.47767,2.0943302,59,67,6.2996883,7.1538834,0.1464905,0.3892004,1.814876,0.2155779
Albania,ALB,2011,7.7006652,10.709522,61,6.5328086,23.280493,22.121983,22.05299,22.626865,2.1713368,58,64,6.211523,6.8540943,0.1481468,0.3918828,1.792947,0.2141788
Albania,ALB,2012,-6.4766597,10.722996,60,6.4337977,23.232865,21.973168,21.993026,22.489707,2.1065702,59,62,6.3265678,6.6482576,0.1492873,0.3966211,1.804856,0.2179297
Albania,ALB,2013,2.7596232,10.701293,60,6.4207759,23.272711,21.998629,22.031599,22.516691,2.1341664,60,61,6.4207759,6.5277888,0.1495568,0.3992612,1.788355,0.2174118
Albania,ALB,2014,5.0760608,10.636113,65,6.9134735,23.303483,21.947041,22.039674,22.554246,2.184927,61,69,6.488029,7.3389181,0.1505629,0.4014354,1.79615,0.2195407
Albania,ALB,2015,-3.7826859,10.636054,65,6.9134352,23.156879,21.801675,21.854668,22.346607,2.1471002,63,68,6.7007141,7.2325168,0.1510187,0.4023011,1.740151,0.2127561
Albania,ALB,2016,4.4553342,10.607787,67,7.1072173,23.199804,21.818539,21.958737,22.417045,2.1916535,62,71,6.576828,7.5315288,0.1502431,0.4026069,1.759287,0.2149419
Albania,ALB,2017,7.8408369,10.532585,69,7.267484,23.288215,21.904993,22.143962,22.534828,2.2700619,65,72,6.8461806,7.5834615,0.1505129,0.4031892,1.777257,0.2175101
Albania,ALB,2018,-2.6165805,10.327914,68,7.0229818,23.444561,22.00974,22.289796,22.647514,2.2438961,63,73,6.506586,7.5393775,0.15076,0.4034464,1.797808,0.220032
Albania,ALB,2019,-5.2242564,10.139694,68,6.8949919,23.457633,21.987393,22.29604,22.659126,2.1916535,64,73,6.4894041,7.4019766,0.1513759,0.4041077,1.79541,0.2202683
Albania,ALB,2020,-10.473998,10.162973,64,6.5043026,23.437961,21.978882,21.964534,22.458455,2.0869136,62,66,6.3010431,6.707562,0.1499238,0.4041293,1.735063,0.2128417
Argentina,ARG,2006,3.3747314,12.996165,45,5.8482742,26.174304,24.493725,24.721467,24.444128,6.0825841,50,41,6.4980825,5.3284276,0.102992,0.2650286,1.124132,0.1499616
Argentina,ARG,2007,2.759634,13.142654,45,5.9141945,26.386226,24.780255,24.914435,24.704815,6.1101805,48,41,6.3084741,5.3884883,0.1037549,0.268824,1.146774,0.1551365
Argentina,ARG,2008,1.018287,13.36142,42,5.6117964,26.61491,24.983125,25.125095,24.94571,6.1203634,44,41,5.8790248,5.4781822,0.1041134,0.2720958,1.129722,0.1543671
Argentina,ARG,2009,-4.6282488,13.469818,45,6.0614181,26.531408,24.702947,24.917456,24.629271,6.0740809,43,47,5.7920217,6.3308144,0.1034433,0.2730781,1.140591,0.1571019
